Program,Year,Period,Week Ending,Geo Level,State,State ANSI,Ag District,Ag District Code,County,County ANSI,Zip Code,Region,watershed_code,Watershed,Commodity,Domain,Domain Category,RYE - ACRES PLANTED  -  <b>VALUE</b>,RYE - ACRES PLANTED  -  <b>CV (%)</b>
SURVEY,2018,YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,RYE,TOTAL,NOT SPECIFIED,"1,972,000",
SURVEY,2017,YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,RYE,TOTAL,NOT SPECIFIED,"1,961,000",
SURVEY,2016,YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,RYE,TOTAL,NOT SPECIFIED,"1,891,000",
SURVEY,2015,YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,RYE,TOTAL,NOT SPECIFIED,"1,584,000",
SURVEY,2014,YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,RYE,TOTAL,NOT SPECIFIED,"1,434,000",
SURVEY,2013,YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,RYE,TOTAL,NOT SPECIFIED,"1,451,000",
SURVEY,2012,YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,RYE,TOTAL,NOT SPECIFIED,"1,271,000",
SURVEY,2011,YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,RYE,TOTAL,NOT SPECIFIED,"1,227,000",
SURVEY,2010,YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,RYE,TOTAL,NOT SPECIFIED,"1,256,000",
SURVEY,2009,YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,RYE,TOTAL,NOT SPECIFIED,"1,256,000",
SURVEY,2008,YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,RYE,TOTAL,NOT SPECIFIED,"1,345,000",
SURVEY,2007,YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,RYE,TOTAL,NOT SPECIFIED,"1,334,000",
SURVEY,2006,YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,RYE,TOTAL,NOT SPECIFIED,"1,396,000",
SURVEY,2005,YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,RYE,TOTAL,NOT SPECIFIED,"1,433,000",
SURVEY,2004,YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,RYE,TOTAL,NOT SPECIFIED,"1,380,000",
SURVEY,2003,YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,RYE,TOTAL,NOT SPECIFIED,"1,348,000",
SURVEY,2002,YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,RYE,TOTAL,NOT SPECIFIED,"1,355,000",
SURVEY,2001,YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,RYE,TOTAL,NOT SPECIFIED,"1,328,000",
SURVEY,2000,YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,RYE,TOTAL,NOT SPECIFIED,"1,329,000",
SURVEY,1999,YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,RYE,TOTAL,NOT SPECIFIED,"1,582,000",
SURVEY,1998,YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,RYE,TOTAL,NOT SPECIFIED,"1,566,000",
SURVEY,1997,YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,RYE,TOTAL,NOT SPECIFIED,"1,400,000",
SURVEY,1996,YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,RYE,TOTAL,NOT SPECIFIED,"1,457,000",
SURVEY,1995,YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,RYE,TOTAL,NOT SPECIFIED,"1,602,000",
SURVEY,1994,YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,RYE,TOTAL,NOT SPECIFIED,"1,613,000",
SURVEY,1993,YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,RYE,TOTAL,NOT SPECIFIED,"1,493,000",
SURVEY,1992,YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,RYE,TOTAL,NOT SPECIFIED,"1,542,000",
SURVEY,1991,YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,RYE,TOTAL,NOT SPECIFIED,"1,671,000",
SURVEY,1990,YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,RYE,TOTAL,NOT SPECIFIED,"1,625,000",
SURVEY,1989,YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,RYE,TOTAL,NOT SPECIFIED,"2,014,000",
SURVEY,1988,YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,RYE,TOTAL,NOT SPECIFIED,"2,374,000",
SURVEY,1987,YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,RYE,TOTAL,NOT SPECIFIED,"2,428,000",
SURVEY,1986,YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,RYE,TOTAL,NOT SPECIFIED,"2,334,000",
SURVEY,1985,YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,RYE,TOTAL,NOT SPECIFIED,"2,543,000",
SURVEY,1984,YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,RYE,TOTAL,NOT SPECIFIED,"2,971,000",
SURVEY,1983,YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,RYE,TOTAL,NOT SPECIFIED,"2,707,000",
SURVEY,1982,YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,RYE,TOTAL,NOT SPECIFIED,"2,533,000",
SURVEY,1981,YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,RYE,TOTAL,NOT SPECIFIED,"2,566,000",
SURVEY,1980,YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,RYE,TOTAL,NOT SPECIFIED,"2,488,000",
SURVEY,1979,YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,RYE,TOTAL,NOT SPECIFIED,"2,839,000",
SURVEY,1978,YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,RYE,TOTAL,NOT SPECIFIED,"2,865,000",
SURVEY,1977,YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,RYE,TOTAL,NOT SPECIFIED,"2,555,000",
SURVEY,1976,YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,RYE,TOTAL,NOT SPECIFIED,"2,604,000",
SURVEY,1975,YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,RYE,TOTAL,NOT SPECIFIED,"2,791,000",
SURVEY,1974,YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,RYE,TOTAL,NOT SPECIFIED,"2,828,000",
SURVEY,1973,YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,RYE,TOTAL,NOT SPECIFIED,"3,380,000",
SURVEY,1972,YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,RYE,TOTAL,NOT SPECIFIED,"3,458,000",
SURVEY,1971,YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,RYE,TOTAL,NOT SPECIFIED,"4,842,000",
SURVEY,1970,YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,RYE,TOTAL,NOT SPECIFIED,"4,196,000",
SURVEY,1969,YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,RYE,TOTAL,NOT SPECIFIED,"3,959,000",
SURVEY,1968,YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,RYE,TOTAL,NOT SPECIFIED,"3,425,000",
SURVEY,1967,YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,RYE,TOTAL,NOT SPECIFIED,"3,660,000",
SURVEY,1966,YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,RYE,TOTAL,NOT SPECIFIED,"3,980,000",
SURVEY,1965,YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,RYE,TOTAL,NOT SPECIFIED,"4,237,000",
SURVEY,1964,YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,RYE,TOTAL,NOT SPECIFIED,"4,552,000",
SURVEY,1963,YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,RYE,TOTAL,NOT SPECIFIED,"4,376,000",
SURVEY,1962,YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,RYE,TOTAL,NOT SPECIFIED,"4,880,000",
SURVEY,1961,YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,RYE,TOTAL,NOT SPECIFIED,"4,157,000",
SURVEY,1960,YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,RYE,TOTAL,NOT SPECIFIED,"4,111,000",
SURVEY,1959,YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,RYE,TOTAL,NOT SPECIFIED,"4,013,000",
SURVEY,1958,YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,RYE,TOTAL,NOT SPECIFIED,"4,390,000",
SURVEY,1957,YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,RYE,TOTAL,NOT SPECIFIED,"4,415,000",
SURVEY,1956,YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,RYE,TOTAL,NOT SPECIFIED,"4,546,000",
SURVEY,1955,YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,RYE,TOTAL,NOT SPECIFIED,"5,133,000",
SURVEY,1954,YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,RYE,TOTAL,NOT SPECIFIED,"4,178,000",
SURVEY,1953,YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,RYE,TOTAL,NOT SPECIFIED,"3,456,000",
SURVEY,1952,YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,RYE,TOTAL,NOT SPECIFIED,"3,186,000",
SURVEY,1951,YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,RYE,TOTAL,NOT SPECIFIED,"3,616,000",
SURVEY,1950,YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,RYE,TOTAL,NOT SPECIFIED,"3,664,000",
SURVEY,1949,YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,RYE,TOTAL,NOT SPECIFIED,"3,293,000",
SURVEY,1948,YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,RYE,TOTAL,NOT SPECIFIED,"3,725,000",
SURVEY,1947,YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,RYE,TOTAL,NOT SPECIFIED,"3,678,000",
SURVEY,1946,YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,RYE,TOTAL,NOT SPECIFIED,"3,396,000",
SURVEY,1945,YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,RYE,TOTAL,NOT SPECIFIED,"4,157,000",
SURVEY,1944,YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,RYE,TOTAL,NOT SPECIFIED,"4,415,000",
SURVEY,1943,YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,RYE,TOTAL,NOT SPECIFIED,"5,311,000",
SURVEY,1942,YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,RYE,TOTAL,NOT SPECIFIED,"6,371,000",
SURVEY,1941,YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,RYE,TOTAL,NOT SPECIFIED,"6,143,000",
SURVEY,1940,YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,RYE,TOTAL,NOT SPECIFIED,"5,514,000",
SURVEY,1939,YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,RYE,TOTAL,NOT SPECIFIED,"7,206,000",
SURVEY,1938,YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,RYE,TOTAL,NOT SPECIFIED,"6,654,000",
SURVEY,1937,YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,RYE,TOTAL,NOT SPECIFIED,"7,235,000",
SURVEY,1936,YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,RYE,TOTAL,NOT SPECIFIED,"6,446,000",
SURVEY,1935,YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,RYE,TOTAL,NOT SPECIFIED,"6,210,000",
SURVEY,1934,YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,RYE,TOTAL,NOT SPECIFIED,"5,453,000",
SURVEY,1933,YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,RYE,TOTAL,NOT SPECIFIED,"4,714,000",
SURVEY,1932,YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,RYE,TOTAL,NOT SPECIFIED,"5,401,000",
SURVEY,1931,YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,RYE,TOTAL,NOT SPECIFIED,"5,345,000",