Program,Year,Period,Week Ending,Geo Level,State,State ANSI,Ag District,Ag District Code,County,County ANSI,Zip Code,Region,watershed_code,Watershed,Commodity,Domain,Domain Category,RICE - ACRES PLANTED  -  <b>VALUE</b>,RICE - ACRES PLANTED  -  <b>CV (%)</b>
SURVEY,2018,YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,RICE,TOTAL,NOT SPECIFIED,"2,840,000",
SURVEY,2017,YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,RICE,TOTAL,NOT SPECIFIED,"2,463,000",
SURVEY,2016,YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,RICE,TOTAL,NOT SPECIFIED,"3,150,000",
SURVEY,2015,YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,RICE,TOTAL,NOT SPECIFIED,"2,625,000",
SURVEY,2014,YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,RICE,TOTAL,NOT SPECIFIED,"2,954,000",
SURVEY,2013,YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,RICE,TOTAL,NOT SPECIFIED,"2,490,000",
SURVEY,2012,YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,RICE,TOTAL,NOT SPECIFIED,"2,700,000",
SURVEY,2011,YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,RICE,TOTAL,NOT SPECIFIED,"2,689,000",
SURVEY,2010,YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,RICE,TOTAL,NOT SPECIFIED,"3,636,000",
SURVEY,2009,YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,RICE,TOTAL,NOT SPECIFIED,"3,135,000",
SURVEY,2008,YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,RICE,TOTAL,NOT SPECIFIED,"2,995,000",
SURVEY,2007,YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,RICE,TOTAL,NOT SPECIFIED,"2,761,000",
SURVEY,2006,YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,RICE,TOTAL,NOT SPECIFIED,"2,838,000",
SURVEY,2005,YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,RICE,TOTAL,NOT SPECIFIED,"3,384,000",
SURVEY,2004,YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,RICE,TOTAL,NOT SPECIFIED,"3,347,000",
SURVEY,2003,YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,RICE,TOTAL,NOT SPECIFIED,"3,022,000",
SURVEY,2002,YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,RICE,TOTAL,NOT SPECIFIED,"3,240,000",
SURVEY,2001,YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,RICE,TOTAL,NOT SPECIFIED,"3,334,000",
SURVEY,2000,YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,RICE,TOTAL,NOT SPECIFIED,"3,060,000",
SURVEY,1999,YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,RICE,TOTAL,NOT SPECIFIED,"3,531,000",
SURVEY,1998,YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,RICE,TOTAL,NOT SPECIFIED,"3,285,000",
SURVEY,1997,YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,RICE,TOTAL,NOT SPECIFIED,"3,125,000",
SURVEY,1996,YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,RICE,TOTAL,NOT SPECIFIED,"2,824,000",
SURVEY,1995,YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,RICE,TOTAL,NOT SPECIFIED,"3,121,000",
SURVEY,1994,YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,RICE,TOTAL,NOT SPECIFIED,"3,353,000",
SURVEY,1993,YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,RICE,TOTAL,NOT SPECIFIED,"2,920,000",
SURVEY,1992,YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,RICE,TOTAL,NOT SPECIFIED,"3,176,000",
SURVEY,1991,YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,RICE,TOTAL,NOT SPECIFIED,"2,884,000",
SURVEY,1990,YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,RICE,TOTAL,NOT SPECIFIED,"2,897,000",
SURVEY,1989,YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,RICE,TOTAL,NOT SPECIFIED,"2,731,000",
SURVEY,1988,YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,RICE,TOTAL,NOT SPECIFIED,"2,933,000",
SURVEY,1987,YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,RICE,TOTAL,NOT SPECIFIED,"2,356,000",
SURVEY,1986,YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,RICE,TOTAL,NOT SPECIFIED,"2,381,000",
SURVEY,1985,YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,RICE,TOTAL,NOT SPECIFIED,"2,512,000",
SURVEY,1984,YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,RICE,TOTAL,NOT SPECIFIED,"2,830,000",
SURVEY,1983,YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,RICE,TOTAL,NOT SPECIFIED,"2,190,000",
SURVEY,1982,YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,RICE,TOTAL,NOT SPECIFIED,"3,295,000",
SURVEY,1981,YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,RICE,TOTAL,NOT SPECIFIED,"3,827,000",
SURVEY,1980,YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,RICE,TOTAL,NOT SPECIFIED,"3,380,000",
SURVEY,1979,YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,RICE,TOTAL,NOT SPECIFIED,"2,890,000",
SURVEY,1978,YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,RICE,TOTAL,NOT SPECIFIED,"2,993,000",
SURVEY,1977,YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,RICE,TOTAL,NOT SPECIFIED,"2,261,000",
SURVEY,1976,YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,RICE,TOTAL,NOT SPECIFIED,"2,489,000",
SURVEY,1975,YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,RICE,TOTAL,NOT SPECIFIED,"2,833,000",
SURVEY,1974,YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,RICE,TOTAL,NOT SPECIFIED,"2,550,000",
SURVEY,1973,YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,RICE,TOTAL,NOT SPECIFIED,"2,181,300",
SURVEY,1972,YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,RICE,TOTAL,NOT SPECIFIED,"1,824,000",
SURVEY,1971,YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,RICE,TOTAL,NOT SPECIFIED,"1,826,000",
SURVEY,1970,YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,RICE,TOTAL,NOT SPECIFIED,"1,825,800",
SURVEY,1969,YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,RICE,TOTAL,NOT SPECIFIED,"2,140,600",
SURVEY,1968,YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,RICE,TOTAL,NOT SPECIFIED,"2,366,600",
SURVEY,1967,YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,RICE,TOTAL,NOT SPECIFIED,"1,982,200",
SURVEY,1966,YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,RICE,TOTAL,NOT SPECIFIED,"1,980,300",
SURVEY,1965,YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,RICE,TOTAL,NOT SPECIFIED,"1,803,800",
SURVEY,1964,YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,RICE,TOTAL,NOT SPECIFIED,"1,796,800",
SURVEY,1963,YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,RICE,TOTAL,NOT SPECIFIED,"1,785,000",
SURVEY,1962,YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,RICE,TOTAL,NOT SPECIFIED,"1,788,700",
SURVEY,1961,YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,RICE,TOTAL,NOT SPECIFIED,"1,618,000",
SURVEY,1960,YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,RICE,TOTAL,NOT SPECIFIED,"1,614,000",
SURVEY,1959,YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,RICE,TOTAL,NOT SPECIFIED,"1,607,300",
SURVEY,1958,YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,RICE,TOTAL,NOT SPECIFIED,"1,439,000",
SURVEY,1957,YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,RICE,TOTAL,NOT SPECIFIED,"1,370,200",
SURVEY,1956,YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,RICE,TOTAL,NOT SPECIFIED,"1,602,500",
SURVEY,1955,YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,RICE,TOTAL,NOT SPECIFIED,"1,846,400",
SURVEY,1954,YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,RICE,TOTAL,NOT SPECIFIED,"2,605,000",
SURVEY,1953,YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,RICE,TOTAL,NOT SPECIFIED,"2,204,200",
SURVEY,1952,YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,RICE,TOTAL,NOT SPECIFIED,"2,041,000",
SURVEY,1951,YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,RICE,TOTAL,NOT SPECIFIED,"2,031,400",
SURVEY,1950,YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,RICE,TOTAL,NOT SPECIFIED,"1,653,200",
SURVEY,1949,YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,RICE,TOTAL,NOT SPECIFIED,"1,884,300",
SURVEY,1948,YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,RICE,TOTAL,NOT SPECIFIED,"1,826,000",
SURVEY,1947,YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,RICE,TOTAL,NOT SPECIFIED,"1,719,000",
SURVEY,1946,YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,RICE,TOTAL,NOT SPECIFIED,"1,595,000",
SURVEY,1945,YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,RICE,TOTAL,NOT SPECIFIED,"1,512,000",
SURVEY,1944,YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,RICE,TOTAL,NOT SPECIFIED,"1,503,000",
SURVEY,1943,YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,RICE,TOTAL,NOT SPECIFIED,"1,517,000",
SURVEY,1942,YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,RICE,TOTAL,NOT SPECIFIED,"1,490,000",
SURVEY,1941,YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,RICE,TOTAL,NOT SPECIFIED,"1,263,000",
SURVEY,1940,YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,RICE,TOTAL,NOT SPECIFIED,"1,090,000",
SURVEY,1939,YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,RICE,TOTAL,NOT SPECIFIED,"1,045,000",
SURVEY,1938,YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,RICE,TOTAL,NOT SPECIFIED,"1,076,000",
SURVEY,1937,YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,RICE,TOTAL,NOT SPECIFIED,"1,116,000",
SURVEY,1936,YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,RICE,TOTAL,NOT SPECIFIED,"981,000",
SURVEY,1935,YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,RICE,TOTAL,NOT SPECIFIED,"817,000",
SURVEY,1934,YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,RICE,TOTAL,NOT SPECIFIED,"812,000",
SURVEY,1933,YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,RICE,TOTAL,NOT SPECIFIED,"798,000",
SURVEY,1932,YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,RICE,TOTAL,NOT SPECIFIED,"874,000",
SURVEY,1931,YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,RICE,TOTAL,NOT SPECIFIED,"965,000",
SURVEY,1930,YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,RICE,TOTAL,NOT SPECIFIED,"966,000",
SURVEY,1929,YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,RICE,TOTAL,NOT SPECIFIED,"860,000",