Program,Year,Period,Week Ending,Geo Level,State,State ANSI,Ag District,Ag District Code,County,County ANSI,Zip Code,Region,watershed_code,Watershed,Commodity,Domain,Domain Category,WHEAT - ACRES PLANTED  -  <b>VALUE</b>,WHEAT - ACRES PLANTED  -  <b>CV (%)</b>
SURVEY,2018,YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,WHEAT,TOTAL,NOT SPECIFIED,"47,821,000",
SURVEY,2017,YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,WHEAT,TOTAL,NOT SPECIFIED,"46,012,000",
SURVEY,2016,YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,WHEAT,TOTAL,NOT SPECIFIED,"50,119,000",
SURVEY,2015,YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,WHEAT,TOTAL,NOT SPECIFIED,"54,999,000",
SURVEY,2014,YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,WHEAT,TOTAL,NOT SPECIFIED,"56,841,000",
SURVEY,2013,YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,WHEAT,TOTAL,NOT SPECIFIED,"56,236,000",
SURVEY,2012,YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,WHEAT,TOTAL,NOT SPECIFIED,"55,294,000",
SURVEY,2011,YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,WHEAT,TOTAL,NOT SPECIFIED,"54,277,000",
SURVEY,2010,YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,WHEAT,TOTAL,NOT SPECIFIED,"52,620,000",
SURVEY,2009,YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,WHEAT,TOTAL,NOT SPECIFIED,"59,017,000",
SURVEY,2008,YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,WHEAT,TOTAL,NOT SPECIFIED,"63,617,000",
SURVEY,2007,YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,WHEAT,TOTAL,NOT SPECIFIED,"60,460,000",
SURVEY,2006,YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,WHEAT,TOTAL,NOT SPECIFIED,"57,334,000",
SURVEY,2005,YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,WHEAT,TOTAL,NOT SPECIFIED,"57,214,000",
SURVEY,2004,YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,WHEAT,TOTAL,NOT SPECIFIED,"59,644,000",
SURVEY,2003,YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,WHEAT,TOTAL,NOT SPECIFIED,"62,141,000",
SURVEY,2002,YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,WHEAT,TOTAL,NOT SPECIFIED,"60,318,000",
SURVEY,2001,YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,WHEAT,TOTAL,NOT SPECIFIED,"59,432,000",
SURVEY,2000,YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,WHEAT,TOTAL,NOT SPECIFIED,"62,549,000",
SURVEY,1999,YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,WHEAT,TOTAL,NOT SPECIFIED,"62,664,000",
SURVEY,1998,YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,WHEAT,TOTAL,NOT SPECIFIED,"65,821,000",
SURVEY,1997,YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,WHEAT,TOTAL,NOT SPECIFIED,"70,412,000",
SURVEY,1996,YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,WHEAT,TOTAL,NOT SPECIFIED,"75,105,000",
SURVEY,1995,YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,WHEAT,TOTAL,NOT SPECIFIED,"69,031,000",
SURVEY,1994,YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,WHEAT,TOTAL,NOT SPECIFIED,"70,349,000",
SURVEY,1993,YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,WHEAT,TOTAL,NOT SPECIFIED,"72,168,000",
SURVEY,1992,YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,WHEAT,TOTAL,NOT SPECIFIED,"72,219,000",
SURVEY,1991,YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,WHEAT,TOTAL,NOT SPECIFIED,"69,881,000",
SURVEY,1990,YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,WHEAT,TOTAL,NOT SPECIFIED,"77,041,000",
SURVEY,1989,YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,WHEAT,TOTAL,NOT SPECIFIED,"76,615,000",
SURVEY,1988,YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,WHEAT,TOTAL,NOT SPECIFIED,"65,529,000",
SURVEY,1987,YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,WHEAT,TOTAL,NOT SPECIFIED,"65,829,000",
SURVEY,1986,YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,WHEAT,TOTAL,NOT SPECIFIED,"71,998,000",
SURVEY,1985,YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,WHEAT,TOTAL,NOT SPECIFIED,"75,535,000",
SURVEY,1984,YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,WHEAT,TOTAL,NOT SPECIFIED,"79,213,000",
SURVEY,1983,YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,WHEAT,TOTAL,NOT SPECIFIED,"76,419,000",
SURVEY,1982,YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,WHEAT,TOTAL,NOT SPECIFIED,"86,232,000",
SURVEY,1981,YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,WHEAT,TOTAL,NOT SPECIFIED,"88,251,000",
SURVEY,1980,YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,WHEAT,TOTAL,NOT SPECIFIED,"80,788,000",
SURVEY,1979,YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,WHEAT,TOTAL,NOT SPECIFIED,"71,424,000",
SURVEY,1978,YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,WHEAT,TOTAL,NOT SPECIFIED,"65,989,000",
SURVEY,1977,YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,WHEAT,TOTAL,NOT SPECIFIED,"75,410,000",
SURVEY,1976,YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,WHEAT,TOTAL,NOT SPECIFIED,"80,395,000",
SURVEY,1975,YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,WHEAT,TOTAL,NOT SPECIFIED,"74,900,000",
SURVEY,1974,YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,WHEAT,TOTAL,NOT SPECIFIED,"71,044,000",
SURVEY,1973,YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,WHEAT,TOTAL,NOT SPECIFIED,"59,254,000",
SURVEY,1972,YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,WHEAT,TOTAL,NOT SPECIFIED,"54,913,000",
SURVEY,1971,YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,WHEAT,TOTAL,NOT SPECIFIED,"53,822,000",
SURVEY,1970,YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,WHEAT,TOTAL,NOT SPECIFIED,"48,739,000",
SURVEY,1969,YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,WHEAT,TOTAL,NOT SPECIFIED,"53,450,000",
SURVEY,1968,YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,WHEAT,TOTAL,NOT SPECIFIED,"61,860,000",
SURVEY,1967,YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,WHEAT,TOTAL,NOT SPECIFIED,"67,264,000",
SURVEY,1966,YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,WHEAT,TOTAL,NOT SPECIFIED,"54,105,000",
SURVEY,1965,YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,WHEAT,TOTAL,NOT SPECIFIED,"57,361,000",
SURVEY,1964,YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,WHEAT,TOTAL,NOT SPECIFIED,"55,672,000",
SURVEY,1963,YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,WHEAT,TOTAL,NOT SPECIFIED,"53,364,000",
SURVEY,1962,YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,WHEAT,TOTAL,NOT SPECIFIED,"49,274,000",
SURVEY,1961,YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,WHEAT,TOTAL,NOT SPECIFIED,"55,707,000",
SURVEY,1960,YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,WHEAT,TOTAL,NOT SPECIFIED,"54,906,000",
SURVEY,1959,YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,WHEAT,TOTAL,NOT SPECIFIED,"56,706,000",
SURVEY,1958,YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,WHEAT,TOTAL,NOT SPECIFIED,"56,017,000",
SURVEY,1957,YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,WHEAT,TOTAL,NOT SPECIFIED,"49,843,000",
SURVEY,1956,YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,WHEAT,TOTAL,NOT SPECIFIED,"60,655,000",
SURVEY,1955,YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,WHEAT,TOTAL,NOT SPECIFIED,"58,246,000",
SURVEY,1954,YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,WHEAT,TOTAL,NOT SPECIFIED,"62,539,000",
SURVEY,1953,YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,WHEAT,TOTAL,NOT SPECIFIED,"78,931,000",
SURVEY,1952,YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,WHEAT,TOTAL,NOT SPECIFIED,"78,645,000",
SURVEY,1951,YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,WHEAT,TOTAL,NOT SPECIFIED,"78,524,000",
SURVEY,1950,YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,WHEAT,TOTAL,NOT SPECIFIED,"71,287,000",
SURVEY,1949,YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,WHEAT,TOTAL,NOT SPECIFIED,"83,905,000",
SURVEY,1948,YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,WHEAT,TOTAL,NOT SPECIFIED,"78,345,000",
SURVEY,1947,YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,WHEAT,TOTAL,NOT SPECIFIED,"78,314,000",
SURVEY,1946,YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,WHEAT,TOTAL,NOT SPECIFIED,"71,578,000",
SURVEY,1945,YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,WHEAT,TOTAL,NOT SPECIFIED,"69,192,000",
SURVEY,1944,YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,WHEAT,TOTAL,NOT SPECIFIED,"66,190,000",
SURVEY,1943,YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,WHEAT,TOTAL,NOT SPECIFIED,"55,984,000",
SURVEY,1942,YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,WHEAT,TOTAL,NOT SPECIFIED,"53,000,000",
SURVEY,1941,YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,WHEAT,TOTAL,NOT SPECIFIED,"62,707,000",
SURVEY,1940,YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,WHEAT,TOTAL,NOT SPECIFIED,"61,820,000",
SURVEY,1939,YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,WHEAT,TOTAL,NOT SPECIFIED,"62,802,000",
SURVEY,1938,YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,WHEAT,TOTAL,NOT SPECIFIED,"78,981,000",
SURVEY,1937,YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,WHEAT,TOTAL,NOT SPECIFIED,"80,814,000",
SURVEY,1936,YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,WHEAT,TOTAL,NOT SPECIFIED,"73,970,000",
SURVEY,1935,YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,WHEAT,TOTAL,NOT SPECIFIED,"69,611,000",
SURVEY,1934,YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,WHEAT,TOTAL,NOT SPECIFIED,"64,064,000",
SURVEY,1933,YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,WHEAT,TOTAL,NOT SPECIFIED,"69,009,000",
SURVEY,1932,YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,WHEAT,TOTAL,NOT SPECIFIED,"66,281,000",
SURVEY,1931,YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,WHEAT,TOTAL,NOT SPECIFIED,"66,463,000",
SURVEY,1930,YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,WHEAT,TOTAL,NOT SPECIFIED,"67,559,000",
SURVEY,1929,YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,WHEAT,TOTAL,NOT SPECIFIED,"67,177,000",
SURVEY,1928,YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,WHEAT,TOTAL,NOT SPECIFIED,"71,152,000",
SURVEY,1927,YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,WHEAT,TOTAL,NOT SPECIFIED,"65,661,000",
SURVEY,1926,YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,WHEAT,TOTAL,NOT SPECIFIED,"60,712,000",
SURVEY,1925,YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,WHEAT,TOTAL,NOT SPECIFIED,"61,738,000",
SURVEY,1924,YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,WHEAT,TOTAL,NOT SPECIFIED,"55,706,000",
SURVEY,1923,YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,WHEAT,TOTAL,NOT SPECIFIED,"64,590,000",
SURVEY,1922,YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,WHEAT,TOTAL,NOT SPECIFIED,"67,163,000",
SURVEY,1921,YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,WHEAT,TOTAL,NOT SPECIFIED,"67,681,000",
SURVEY,1920,YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,WHEAT,TOTAL,NOT SPECIFIED,"67,977,000",
SURVEY,1919,YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,WHEAT,TOTAL,NOT SPECIFIED,"77,440,000",