Program,Year,Period,Week Ending,Geo Level,State,State ANSI,Ag District,Ag District Code,County,County ANSI,Zip Code,Region,watershed_code,Watershed,Commodity,Domain,Domain Category,OATS - ACRES PLANTED  -  <b>VALUE</b>,OATS - ACRES PLANTED  -  <b>CV (%)</b>
SURVEY,2018,YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,OATS,TOTAL,NOT SPECIFIED,"2,889,000",
SURVEY,2017,YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,OATS,TOTAL,NOT SPECIFIED,"2,588,000",
SURVEY,2016,YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,OATS,TOTAL,NOT SPECIFIED,"2,829,000",
SURVEY,2015,YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,OATS,TOTAL,NOT SPECIFIED,"3,088,000",
SURVEY,2014,YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,OATS,TOTAL,NOT SPECIFIED,"2,753,000",
SURVEY,2013,YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,OATS,TOTAL,NOT SPECIFIED,"2,980,000",
SURVEY,2012,YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,OATS,TOTAL,NOT SPECIFIED,"2,700,000",
SURVEY,2011,YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,OATS,TOTAL,NOT SPECIFIED,"2,349,000",
SURVEY,2010,YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,OATS,TOTAL,NOT SPECIFIED,"3,113,000",
SURVEY,2009,YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,OATS,TOTAL,NOT SPECIFIED,"3,349,000",
SURVEY,2008,YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,OATS,TOTAL,NOT SPECIFIED,"3,260,000",
SURVEY,2007,YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,OATS,TOTAL,NOT SPECIFIED,"3,763,000",
SURVEY,2006,YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,OATS,TOTAL,NOT SPECIFIED,"4,166,000",
SURVEY,2005,YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,OATS,TOTAL,NOT SPECIFIED,"4,246,000",
SURVEY,2004,YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,OATS,TOTAL,NOT SPECIFIED,"4,085,000",
SURVEY,2003,YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,OATS,TOTAL,NOT SPECIFIED,"4,597,000",
SURVEY,2002,YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,OATS,TOTAL,NOT SPECIFIED,"4,995,000",
SURVEY,2001,YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,OATS,TOTAL,NOT SPECIFIED,"4,401,000",
SURVEY,2000,YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,OATS,TOTAL,NOT SPECIFIED,"4,473,000",
SURVEY,1999,YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,OATS,TOTAL,NOT SPECIFIED,"4,668,000",
SURVEY,1998,YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,OATS,TOTAL,NOT SPECIFIED,"4,891,000",
SURVEY,1997,YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,OATS,TOTAL,NOT SPECIFIED,"5,068,000",
SURVEY,1996,YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,OATS,TOTAL,NOT SPECIFIED,"4,638,000",
SURVEY,1995,YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,OATS,TOTAL,NOT SPECIFIED,"6,225,000",
SURVEY,1994,YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,OATS,TOTAL,NOT SPECIFIED,"6,637,000",
SURVEY,1993,YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,OATS,TOTAL,NOT SPECIFIED,"7,937,000",
SURVEY,1992,YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,OATS,TOTAL,NOT SPECIFIED,"7,943,000",
SURVEY,1991,YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,OATS,TOTAL,NOT SPECIFIED,"8,653,000",
SURVEY,1990,YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,OATS,TOTAL,NOT SPECIFIED,"10,423,000",
SURVEY,1989,YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,OATS,TOTAL,NOT SPECIFIED,"12,085,000",
SURVEY,1988,YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,OATS,TOTAL,NOT SPECIFIED,"13,907,000",
SURVEY,1987,YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,OATS,TOTAL,NOT SPECIFIED,"17,907,000",
SURVEY,1986,YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,OATS,TOTAL,NOT SPECIFIED,"14,671,000",
SURVEY,1985,YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,OATS,TOTAL,NOT SPECIFIED,"13,235,000",
SURVEY,1984,YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,OATS,TOTAL,NOT SPECIFIED,"12,414,000",
SURVEY,1983,YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,OATS,TOTAL,NOT SPECIFIED,"20,289,000",
SURVEY,1982,YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,OATS,TOTAL,NOT SPECIFIED,"13,951,000",
SURVEY,1981,YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,OATS,TOTAL,NOT SPECIFIED,"13,632,000",
SURVEY,1980,YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,OATS,TOTAL,NOT SPECIFIED,"13,381,000",
SURVEY,1979,YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,OATS,TOTAL,NOT SPECIFIED,"13,960,000",
SURVEY,1978,YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,OATS,TOTAL,NOT SPECIFIED,"16,407,000",
SURVEY,1977,YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,OATS,TOTAL,NOT SPECIFIED,"17,732,000",
SURVEY,1976,YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,OATS,TOTAL,NOT SPECIFIED,"16,620,000",
SURVEY,1975,YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,OATS,TOTAL,NOT SPECIFIED,"16,434,000",
SURVEY,1974,YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,OATS,TOTAL,NOT SPECIFIED,"17,013,000",
SURVEY,1973,YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,OATS,TOTAL,NOT SPECIFIED,"18,605,000",
SURVEY,1972,YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,OATS,TOTAL,NOT SPECIFIED,"19,990,000",
SURVEY,1971,YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,OATS,TOTAL,NOT SPECIFIED,"21,831,000",
SURVEY,1970,YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,OATS,TOTAL,NOT SPECIFIED,"24,410,000",
SURVEY,1969,YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,OATS,TOTAL,NOT SPECIFIED,"23,561,000",
SURVEY,1968,YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,OATS,TOTAL,NOT SPECIFIED,"23,342,000",
SURVEY,1967,YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,OATS,TOTAL,NOT SPECIFIED,"20,719,000",
SURVEY,1966,YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,OATS,TOTAL,NOT SPECIFIED,"23,343,000",
SURVEY,1965,YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,OATS,TOTAL,NOT SPECIFIED,"24,046,000",
SURVEY,1964,YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,OATS,TOTAL,NOT SPECIFIED,"25,634,000",
SURVEY,1963,YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,OATS,TOTAL,NOT SPECIFIED,"28,054,000",
SURVEY,1962,YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,OATS,TOTAL,NOT SPECIFIED,"29,500,000",
SURVEY,1961,YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,OATS,TOTAL,NOT SPECIFIED,"32,314,000",
SURVEY,1960,YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,OATS,TOTAL,NOT SPECIFIED,"31,419,000",
SURVEY,1959,YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,OATS,TOTAL,NOT SPECIFIED,"35,064,000",
SURVEY,1958,YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,OATS,TOTAL,NOT SPECIFIED,"37,699,000",
SURVEY,1957,YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,OATS,TOTAL,NOT SPECIFIED,"41,840,000",
SURVEY,1956,YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,OATS,TOTAL,NOT SPECIFIED,"44,205,000",
SURVEY,1955,YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,OATS,TOTAL,NOT SPECIFIED,"47,494,000",
SURVEY,1954,YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,OATS,TOTAL,NOT SPECIFIED,"46,898,000",
SURVEY,1953,YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,OATS,TOTAL,NOT SPECIFIED,"43,220,000",
SURVEY,1952,YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,OATS,TOTAL,NOT SPECIFIED,"42,341,000",
SURVEY,1951,YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,OATS,TOTAL,NOT SPECIFIED,"41,015,000",
SURVEY,1950,YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,OATS,TOTAL,NOT SPECIFIED,"45,044,000",
SURVEY,1949,YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,OATS,TOTAL,NOT SPECIFIED,"43,132,000",
SURVEY,1948,YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,OATS,TOTAL,NOT SPECIFIED,"43,838,000",
SURVEY,1947,YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,OATS,TOTAL,NOT SPECIFIED,"42,058,000",
SURVEY,1946,YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,OATS,TOTAL,NOT SPECIFIED,"46,515,000",
SURVEY,1945,YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,OATS,TOTAL,NOT SPECIFIED,"46,025,000",
SURVEY,1944,YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,OATS,TOTAL,NOT SPECIFIED,"44,141,000",
SURVEY,1943,YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,OATS,TOTAL,NOT SPECIFIED,"43,467,000",
SURVEY,1942,YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,OATS,TOTAL,NOT SPECIFIED,"43,018,000",
SURVEY,1941,YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,OATS,TOTAL,NOT SPECIFIED,"41,841,000",
SURVEY,1940,YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,OATS,TOTAL,NOT SPECIFIED,"39,315,000",
SURVEY,1939,YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,OATS,TOTAL,NOT SPECIFIED,"38,203,000",
SURVEY,1938,YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,OATS,TOTAL,NOT SPECIFIED,"39,390,000",
SURVEY,1937,YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,OATS,TOTAL,NOT SPECIFIED,"39,827,000",
SURVEY,1936,YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,OATS,TOTAL,NOT SPECIFIED,"41,934,000",
SURVEY,1935,YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,OATS,TOTAL,NOT SPECIFIED,"43,599,000",
SURVEY,1934,YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,OATS,TOTAL,NOT SPECIFIED,"40,467,000",
SURVEY,1933,YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,OATS,TOTAL,NOT SPECIFIED,"43,774,000",
SURVEY,1932,YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,OATS,TOTAL,NOT SPECIFIED,"45,549,000",
SURVEY,1931,YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,OATS,TOTAL,NOT SPECIFIED,"44,483,000",
SURVEY,1930,YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,OATS,TOTAL,NOT SPECIFIED,"42,608,000",
SURVEY,1929,YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,OATS,TOTAL,NOT SPECIFIED,"40,534,000",
SURVEY,1928,YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,OATS,TOTAL,NOT SPECIFIED,"40,242,000",
SURVEY,1927,YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,OATS,TOTAL,NOT SPECIFIED,"40,530,000",
SURVEY,1926,YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,OATS,TOTAL,NOT SPECIFIED,"43,943,000",